TestCase001,,,,,,,,,,,,,,,,,,
time,In1,time,In2,time,In3,time,In4,time,In5,time,In6,time,In7,time,In8,time,In9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,1,0.001,1,0.001,1,0.001,0,0.001,1,0.001,0,0.001,1,0.001,1,0.001,1
0.002,0,0.002,2,0.002,0,0.002,0,0.002,0,0.002,0,0.002,0,0.002,2,0.002,2
0.003,0,0.003,3,0.003,1,0.003,0,0.003,1,0.003,0,0.003,1,0.003,3,0.003,3
0.004,0,0.004,4,0.004,2,0.004,0,0.004,0,0.004,0,0.004,0,0.004,4,0.004,4
0.005,0,0.005,5,0.005,3,0.005,0,0.005,1,0.005,0,0.005,1,0.005,5,0.005,5
0.006,0,0.006,4,0.006,4,0.006,0,0.006,0,0.006,0,0.006,2,0.006,6,0.006,6
0.007,0,0.007,5,0.007,5,0.007,0,0.007,1,0.007,1,0.007,2,0.007,7,0.007,7
0.008,0,0.008,6,0.008,4,0.008,1,0.008,2,0.008,2,0.008,3,0.008,8,0.008,8
0.009,0,0.009,7,0.009,5,0.009,0,0.009,3,0.009,3,0.009,4,0.009,9,0.009,9
0.01,0,0.01,7,0.01,5,0.01,0,0.01,3,0.01,4,0.01,5,0.01,10,0.01,10
0.011,0,0.011,8,0.011,6,0.011,1,0.011,4,0.011,5,0.011,4,0.011,11,0.011,11
0.012,0,0.012,9,0.012,7,0.012,2,0.012,5,0.012,4,0.012,5,0.012,12,0.012,12
0.013,0,0.013,8,0.013,8,0.013,3,0.013,4,0.013,5,0.013,4,0.013,13,0.013,13
0.014,0,0.014,7,0.014,8,0.014,4,0.014,3,0.014,5,0.014,3,0.014,14,0.014,14
0.015,0,0.015,7,0.015,7,0.015,5,0.015,2,0.015,6,0.015,2,0.015,15,0.015,15
0.016,0,0.016,8,0.016,8,0.016,6,0.016,2,0.016,6,0.016,1,0.016,16,0.016,16
0.017,0,0.017,9,0.017,7,0.017,7,0.017,3,0.017,7,0.017,0,0.017,17,0.017,17
0.018,0,0.018,10,0.018,8,0.018,8,0.018,4,0.018,8,0.018,-1,0.018,18,0.018,18
0.019,0,0.019,11,0.019,9,0.019,9,0.019,5,0.019,9,0.019,-2,0.019,19,0.019,19
0.02,0,0.02,12,0.02,8,0.02,8,0.02,4,0.02,10,0.02,-3,0.02,20,0.02,20
0.021,0,0.021,13,0.021,7,0.021,7,0.021,3,0.021,11,0.021,-2,0.021,21,0.021,21
0.022,0,0.022,14,0.022,6,0.022,6,0.022,2,0.022,12,0.022,-3,0.022,22,0.022,22
0.023,0,0.023,14,0.023,7,0.023,7,0.023,1,0.023,13,0.023,-2,0.023,23,0.023,23
0.024,0,0.024,15,0.024,8,0.024,8,0.024,0,0.024,14,0.024,-1,0.024,24,0.024,24
0.025,0,0.025,14,0.025,9,0.025,9,0.025,-1,0.025,15,0.025,-2,0.025,25,0.025,25
0.026,0,0.026,15,0.026,10,0.026,10,0.026,-2,0.026,16,0.026,-1,0.026,26,0.026,26
0.027,0,0.027,16,0.027,11,0.027,11,0.027,-3,0.027,17,0.027,0,0.027,27,0.027,27
0.028,0,0.028,16,0.028,11,0.028,11,0.028,-3,0.028,17,0.028,0,0.028,27,0.028,27
